Date,Open,High,Low,Close
2020-06-23,1.25280,1.25430,1.24170,1.25249
2020-06-22,1.24994,1.25316,1.24338,1.25016
2020-06-21,1.23455,1.24550,1.23373,1.23481
2020-06-18,1.24248,1.24548,1.23509,1.24268
2020-06-17,1.25516,1.25633,1.24046,1.25527
2020-06-16,1.25838,1.25873,1.25142,1.25851
2020-06-15,1.26382,1.26871,1.25603,1.26378
2020-06-14,1.25124,1.25785,1.24562,1.25088
2020-06-11,1.25756,1.26509,1.25233,1.25770
2020-06-10,1.27142,1.27504,1.26250,1.27107
2020-06-09,1.27113,1.28003,1.27075,1.27113
2020-06-08,1.27324,1.27549,1.26269,1.27353
2020-06-07,1.27139,1.27188,1.26287,1.27257
2020-06-04,1.26029,1.27298,1.25843,1.26091
2020-06-03,1.25745,1.26223,1.25016,1.25751
2020-06-02,1.25789,1.26130,1.25549,1.25815
2020-06-01,1.24884,1.25754,1.24796,1.24870
2020-05-31,1.23454,1.24850,1.23454,1.23480
2020-05-28,1.23197,1.23922,1.22933,1.23215
2020-05-27,1.22632,1.23350,1.22354,1.22648
2020-05-26,1.23350,1.23493,1.22094,1.23350
2020-05-25,1.22005,1.23628,1.21985,1.22014
2020-05-24,1.21867,1.22039,1.21650,1.21861
2020-05-21,1.22261,1.22354,1.21634,1.22235
2020-05-20,1.22354,1.22495,1.21865,1.22369
2020-05-19,1.22594,1.22870,1.22232,1.22559
2020-05-18,1.22026,1.22693,1.21849,1.22000
2020-05-17,1.20860,1.22243,1.20860,1.20858
2020-05-14,1.22339,1.22381,1.21164,1.22339
2020-05-13,1.22395,1.22414,1.21688,1.22416
2020-05-12,1.22537,1.23375,1.22219,1.22549
2020-05-11,1.23323,1.23762,1.22886,1.23335
2020-05-10,1.24163,1.24378,1.22858,1.24174
2020-05-07,1.23741,1.24635,1.23577,1.23759
2020-05-06,1.23274,1.24147,1.22699,1.23256
2020-05-05,1.24452,1.24502,1.23378,1.24442
2020-05-04,1.24482,1.24803,1.24222,1.24456
2020-05-03,1.24566,1.24688,1.24065,1.24542
2020-04-30,1.25810,1.25810,1.25041,1.25815
2020-04-29,1.24691,1.26378,1.24299,1.24715
2020-04-28,1.24339,1.24863,1.23905,1.24357
2020-04-27,1.24224,1.25185,1.24057,1.24227
2020-04-26,1.23686,1.24538,1.23612,1.23666
2020-04-23,1.23531,1.23742,1.22997,1.23522
2020-04-22,1.23226,1.24157,1.23094,1.23239
2020-04-21,1.23024,1.23831,1.22760,1.22986
2020-04-20,1.24425,1.24440,1.22635,1.24428
2020-04-19,1.24875,1.24916,1.24182,1.24875
2020-04-16,1.24878,1.25232,1.24086,1.24878
2020-04-15,1.25219,1.25266,1.24143,1.25210
2020-04-14,1.26240,1.26279,1.24408,1.26263
2020-04-13,1.25204,1.26208,1.25117,1.25239
2020-04-12,1.24590,1.25334,1.24558,1.24611
2020-04-09,1.24598,1.24881,1.24496,1.24548
2020-04-08,1.23917,1.24752,1.23625,1.23931
2020-04-07,1.23375,1.24180,1.22895,1.23387
2020-04-06,1.22348,1.23824,1.22205,1.22405
2020-04-05,1.22196,1.23274,1.22128,1.22202
2020-04-02,1.23919,1.23940,1.22073,1.23950
2020-04-01,1.23818,1.24656,1.23550,1.23824
2020-03-31,1.24116,1.24384,1.23350,1.24085
2020-03-30,1.23655,1.24694,1.22674,1.23716
2020-03-29,1.24487,1.24673,1.23198,1.24532
2020-03-26,1.21933,1.23799,1.21535,1.22006
2020-03-25,1.18441,1.21392,1.18226,1.18511
2020-03-24,1.17915,1.19732,1.16471,1.17920
2020-03-23,1.15978,1.17897,1.15837,1.15955
2020-03-22,1.16086,1.17117,1.14803,1.16230
2020-03-19,1.14964,1.19243,1.14821,1.14944
2020-03-18,1.16110,1.17886,1.14768,1.16253
2020-03-17,1.21161,1.21303,1.17465,1.21216
2020-03-16,1.22693,1.22705,1.20093,1.22666
2020-03-15,1.24003,1.24003,1.22229,1.23999
2020-03-12,1.25728,1.26250,1.24006,1.25702
2020-03-11,1.28176,1.28518,1.25430,1.28182
2020-03-10,1.29069,1.29774,1.28554,1.29097
2020-03-09,1.30753,1.30883,1.29344,1.30753
2020-03-08,1.30966,1.31997,1.30364,1.30993
2020-03-05,1.29500,1.30497,1.29500,1.29507
2020-03-04,1.28722,1.29458,1.28617,1.28750
2020-03-03,1.28212,1.28460,1.27716,1.28208
2020-03-02,1.27663,1.28375,1.27598,1.27672
2020-03-01,1.28056,1.28518,1.27419,1.28070
2020-02-27,1.28893,1.29189,1.27544,1.28889
2020-02-26,1.29072,1.29453,1.28626,1.29069
2020-02-25,1.30024,1.30107,1.29132,1.30034
2020-02-24,1.29252,1.30180,1.29166,1.29266
2020-02-23,1.29520,1.29550,1.28889,1.29537
2020-02-20,1.28815,1.29769,1.28796,1.28833
2020-02-19,1.29282,1.29304,1.28515,1.29282
2020-02-18,1.29998,1.30217,1.29281,1.30022
2020-02-17,1.30054,1.30490,1.29725,1.30090
2020-02-16,1.30509,1.30531,1.30044,1.30530
2020-02-13,1.30448,1.30634,1.30039,1.30468
2020-02-12,1.29586,1.30686,1.29453,1.29576
2020-02-11,1.29566,1.29921,1.29534,1.29566
2020-02-10,1.29166,1.29685,1.28961,1.29182
2020-02-09,1.28889,1.29483,1.28742,1.28916
2020-02-06,1.29301,1.29550,1.29001,1.29303
2020-02-05,1.29971,1.30005,1.29241,1.29971
2020-02-04,1.30313,1.30700,1.29586,1.30327
2020-02-03,1.29973,1.30426,1.29440,1.29975
2020-02-02,1.31808,1.31834,1.30014,1.31817
2020-01-30,1.30863,1.31961,1.30863,1.30890
2020-01-29,1.30225,1.31096,1.29804,1.30220
2020-01-28,1.30240,1.30310,1.29912,1.30246
2020-01-27,1.30600,1.30685,1.29776,1.30601
2020-01-26,1.30617,1.31031,1.30514,1.30618
2020-01-23,1.31199,1.31607,1.30600,1.31199
2020-01-22,1.31475,1.31518,1.30984,1.31448
2020-01-21,1.30463,1.31498,1.30378,1.30480
2020-01-20,1.30073,1.30840,1.29960,1.30056
2020-01-19,1.30071,1.30096,1.29648,1.30073
2020-01-16,1.30779,1.31158,1.30178,1.30787
2020-01-15,1.30412,1.30816,1.30290,1.30412
2020-01-14,1.30225,1.30412,1.29892,1.30225
2020-01-13,1.29877,1.30190,1.29567,1.29882
2020-01-12,1.30438,1.30463,1.29619,1.30456
2020-01-09,1.30693,1.30957,1.30494,1.30702
2020-01-08,1.31058,1.31246,1.30151,1.31051
2020-01-07,1.31113,1.31695,1.30827,1.31137
2020-01-06,1.31719,1.32121,1.30964,1.31700
2020-01-05,1.30813,1.31740,1.30654,1.30801
2020-01-02,1.31439,1.31612,1.30548,1.31527
2020-01-01,1.32505,1.32679,1.31251,1.32503
